Date,Open,High,Low,Close,Volume
2012-09-26,1.844,1.89333,1.832,1.836,22909800.0
2012-09-25,1.908,1.96533,1.83533,1.844,85259280.0
2012-09-24,1.96733,2.06867,1.96,2.044,19527060.0
2012-09-21,2.07333,2.09933,1.96933,2.00133,28049550.0
2012-09-20,2.062,2.1,2.04533,2.06,13685580.0
2012-09-19,2.066,2.116,2.06267,2.07,15726855.0
2012-09-18,2.12533,2.12667,2.04533,2.08933,26827200.0
2012-09-17,2.15667,2.18533,2.10067,2.16933,48193500.0
2012-09-14,2.0,2.04333,1.97667,2.026,23048535.0
2012-09-13,1.90467,1.96667,1.89867,1.96533,22280385.0
2012-09-12,1.86,1.90533,1.85333,1.88533,17177010.0
2012-09-11,1.85067,1.87733,1.82667,1.85333,15223065.0
2012-09-10,1.94667,1.95667,1.82,1.82467,22248225.0
2012-09-07,1.90333,1.97133,1.9,1.95667,14297265.0
2012-09-06,1.86667,1.92667,1.86,1.90333,12624645.0
2012-09-05,1.86733,1.9,1.854,1.86267,9588405.0
2012-09-04,1.90133,1.93267,1.86,1.876,11287440.0
2012-08-31,1.90733,1.92267,1.88,1.90133,8096040.0
2012-08-30,1.90667,1.916,1.87333,1.894,9844605.0
2012-08-29,1.89933,1.90933,1.868,1.894,12583245.0
2012-08-28,1.89333,1.95833,1.86667,1.91267,21039840.0
2012-08-27,1.97133,1.98,1.878,1.888,20254875.0
2012-08-24,2.004,2.016,1.96067,1.96667,21450165.0
2012-08-23,2.0,2.05667,1.97667,2.04867,22064610.0
2012-08-22,1.934,2.00267,1.934,1.99667,11632350.0
2012-08-21,1.972,2.0,1.93333,1.94067,11422740.0
2012-08-20,2.01,2.026,1.94,1.96733,17685120.0
2012-08-17,2.01933,2.04733,1.99867,2.00067,7621830.0
2012-08-16,1.96867,2.026,1.96667,2.02,10034595.0
2012-08-15,1.95933,1.98,1.92067,1.96,7880775.0
2012-08-14,2.05,2.078,1.95067,1.96133,11900040.0
2012-08-13,1.97933,2.08667,1.94007,2.078,13050750.0
2012-08-10,1.954,1.996,1.954,1.996,10610850.0
2012-08-09,1.968,2.0,1.942,1.96067,10088760.0
2012-08-08,1.99333,2.0,1.906,1.93933,19633425.0
2012-08-07,1.918,2.06,1.9,2.01667,35809560.0
2012-08-06,1.83667,1.91333,1.83667,1.88467,22922535.0
2012-08-03,1.79333,1.83667,1.78267,1.818,18142050.0
2012-08-02,1.78933,1.79,1.70133,1.74,19575240.0
2012-08-01,1.866,1.866,1.73533,1.75,23883255.0
2012-07-31,1.836,1.86467,1.82333,1.828,23625900.0
2012-07-30,1.96733,2.01667,1.814,1.82333,30990600.0
2012-07-27,1.914,1.97733,1.87333,1.96733,25094520.0
2012-07-26,1.99333,2.0,1.84267,1.87533,33945075.0
2012-07-25,1.99467,1.99867,1.91667,1.93,42645240.0
2012-07-24,2.044,2.06933,1.97467,1.98933,22506390.0
2012-07-23,2.07,2.08667,2.04133,2.044,20801145.0
2012-07-20,2.138,2.15,2.08333,2.11933,23526990.0
2012-07-19,2.18133,2.21,2.136,2.15133,21538170.0
2012-07-18,2.09467,2.24467,2.07067,2.14333,43231260.0
2012-07-17,2.33333,2.34733,2.15867,2.22333,38538195.0
2012-07-16,2.288,2.4,2.26,2.39733,26158500.0
2012-07-13,2.198,2.29333,2.18867,2.28333,19570680.0
2012-07-12,2.086,2.20067,2.05333,2.18,16885050.0
2012-07-11,2.10467,2.112,2.06733,2.10067,9577740.0
2012-07-10,2.10267,2.16533,2.05933,2.08467,11375280.0
2012-07-09,2.06267,2.122,2.04467,2.09933,13656135.0
2012-07-06,2.066,2.11533,2.05333,2.066,11766915.0
2012-07-05,2.054,2.11133,2.05333,2.082,18806490.0
2012-07-03,2.04,2.06667,2.02667,2.044,14206920.0
2012-07-02,2.09,2.12,2.01267,2.02667,19733010.0
2012-06-29,2.18667,2.18667,2.06667,2.086,16885560.0
2012-06-28,2.12667,2.14067,2.04133,2.094,13710600.0
2012-06-27,2.12667,2.16333,2.10467,2.13067,15707910.0
2012-06-26,2.13667,2.15667,2.09267,2.10733,39207735.0
2012-06-25,2.26333,2.27467,2.18333,2.20733,20679540.0
2012-06-22,2.17333,2.26533,2.164,2.25267,45711780.0
2012-06-21,2.284,2.28533,2.12267,2.146,28378425.0
2012-06-20,2.23333,2.3,2.214,2.252,51335130.0
2012-06-19,2.13467,2.17733,2.1,2.13933,13665435.0
2012-06-18,1.996,2.15533,1.96667,2.12267,18851940.0
2012-06-15,1.95933,1.99667,1.92067,1.994,9701055.0
2012-06-14,2.012,2.04333,1.908,1.95933,13082415.0
2012-06-13,1.97,2.04267,1.96467,1.98467,12665565.0
2012-06-12,1.94867,1.98933,1.92067,1.97733,8534910.0
2012-06-11,2.02067,2.06667,1.93067,1.94133,9539205.0
2012-06-08,1.924,2.01267,1.87667,2.00533,13218135.0
2012-06-07,1.98733,1.99133,1.92333,1.92867,7380225.0
2012-06-06,1.88,1.96333,1.876,1.94333,13336530.0
2012-06-05,1.856,1.89267,1.83733,1.86067,9463275.0
2012-06-04,1.86867,1.894,1.80733,1.85867,15462510.0
2012-06-01,1.902,1.944,1.85067,1.87667,13285650.0
2012-05-31,2.00467,2.01933,1.91667,1.96667,16780515.0
2012-05-30,2.072,2.09467,2.016,2.02733,19607115.0
2012-05-29,2.00067,2.12867,2.00067,2.11267,24748755.0
2012-05-25,2.01067,2.02733,1.94667,1.98733,11355135.0
2012-05-24,2.08333,2.08333,1.97933,2.02133,15209625.0
2012-05-23,2.03733,2.07,1.96667,2.068,18641850.0
2012-05-22,2.00667,2.08933,2.0,2.05267,35492550.0
2012-05-21,1.83867,1.95067,1.808,1.918,22928385.0
2012-05-18,1.89133,1.89733,1.78867,1.83733,24247305.0
2012-05-17,1.95333,1.986,1.88267,1.90467,15302040.0
2012-05-16,1.972,2.012,1.92533,1.94533,19072995.0
2012-05-15,2.01733,2.064,1.948,1.962,23785230.0
